,MSE_error
0,12.474987505240252
1,7.448658965706269
2,7.298823119880215
3,7.2286913602875975
4,7.1983422141808555
5,7.14500333183312
6,7.077551910342603
7,7.100274639920113
8,7.086133110040753
9,7.193760536864004
10,7.105314884784313
11,6.966750798548574
12,6.903843769492373
13,7.247538708520296
14,7.0719121953312865
15,7.060474842675326
16,7.084148746081897
17,7.047777981179913
18,7.0764347524733
19,6.965942265840105
20,7.125692792348276
21,6.987742027857954
22,6.908994720195136
23,7.13702419658878
24,6.670470931572853
25,6.867075477710767
26,6.871051922170914
27,6.729767216358112
28,6.61146745423157
29,6.59387345582741
30,6.514443465358116
31,6.7162296994016755
32,6.794725025173677
33,6.999487306331449
34,6.652478843987233
35,6.9422916048843595
36,6.551402990903519
37,6.789714481323133
38,6.795898487765432
39,6.698455726418989
40,6.492463142553011
41,6.356805190013026
42,6.728515762763714
43,7.206086760976773
44,6.653465328938214
45,6.6571256641693415
46,6.461148674923382
47,6.791279284370791
48,6.847959388401097
49,6.806644560802806
50,6.459225032983433
51,6.425133299039188
52,6.909106593483156
53,6.373148538912072
54,6.592765845425238
55,6.202751803525199
56,6.770079571724593
57,6.438900405243456
58,6.689220048418214
59,6.174161822426718
60,6.578954884685522
61,6.706167543860892
62,6.768352943431844
63,6.604325473456247
64,6.432761509919927
65,6.439057127750046
66,6.410175270220634
67,6.211995360089329
68,6.410509432612886
69,6.283175893691997
70,6.845650584590524
71,6.532320840849741
72,7.2525452375456405
73,6.789388492154335
74,6.452781081036776
75,7.567516323408622
76,7.426616878639276
77,7.399042549557833
78,7.379346564607456
79,7.363936543870175
80,7.351784359746062
81,7.34219316638234
82,7.334626336704165
83,7.32865908226152
84,7.323954344741843
85,7.320245265398227
86,7.317320813136541
87,7.315014192513062
88,7.3131936887482345
89,7.311755433529043
90,7.3106176361549515
91,7.309715967952672
92,7.3089998822007765
93,7.30842969566135
94,7.307974283605151
95,7.3076092616534964
96,7.30731554389286
97,7.307078172781732
98,7.306885315125167
99,7.30672735499908
